Run name: allcases_3600s_20260620_005457_hp8_m
Run directory: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m
Training log: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/train.log
Default RL canvas aligned to fastTM interposer: 100.0 x 100.0

生成/检查 fastTM 热阻表...
  热阻表阶段状态: ok
  熵: 7.2662
  KL散度: 9.575366
模型已保存到 /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/checkpoints/ppo_best.pt
  NEW_BEST_MODEL 平均奖励: 117.74
  BEST_CKPT: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/checkpoints/ppo_best.pt
Episode 1100/1000000
  平均奖励: 84.65
  成功率: 0.0%
  累计RL时间: 235.06s
  本区间时间: 42.31s
  损失: -1.6248
  熵: 7.2663
  KL散度: 9.634804
Episode 1200/1000000
  平均奖励: 91.28
  成功率: 0.0%
  累计RL时间: 250.74s
  本区间时间: 15.68s
  损失: 150.3504
  熵: 7.2659
  KL散度: 9.629090
Episode 1300/1000000
  平均奖励: 87.22
  成功率: 0.0%
  累计RL时间: 266.03s
  本区间时间: 15.29s
  损失: 40.6048
  熵: 7.2658
  KL散度: 9.570279
Episode 1400/1000000
  平均奖励: 93.78
  成功率: 0.0%
  累计RL时间: 282.02s
  本区间时间: 15.99s
  损失: 170.9608
  熵: 7.2654
  KL散度: 9.666502
Episode 1500/1000000
  平均奖励: 92.88
  成功率: 0.0%
  累计RL时间: 297.88s
  本区间时间: 15.86s
  损失: 200.5489
  熵: 7.2662
  KL散度: 9.674853
Episode 1600/1000000
  平均奖励: 95.32
  成功率: 0.0%
  累计RL时间: 314.05s
  本区间时间: 16.17s
  损失: 519.1432
  熵: 7.2660
  KL散度: 9.682648
Episode 1700/1000000
  平均奖励: 89.82
  成功率: 0.0%
  累计RL时间: 329.71s
  本区间时间: 15.66s
  损失: 1.3287
  熵: 7.2663
  KL散度: 9.769788
Episode 1800/1000000
  平均奖励: 94.18
  成功率: 0.0%
  累计RL时间: 345.75s
  本区间时间: 16.04s
  损失: 539.5198
  熵: 7.2663
  KL散度: 9.665103
Episode 1900/1000000
  平均奖励: 89.77
  成功率: 0.0%
  累计RL时间: 361.15s
  本区间时间: 15.40s
  损失: 818.4072
  熵: 7.2654
  KL散度: 9.677868
Episode 2000/1000000
  平均奖励: 85.50
  成功率: 0.0%
  累计RL时间: 375.97s
  本区间时间: 14.82s
  损失: 11.4895
  熵: 7.2663
  KL散度: 9.566258
Episode 2100/1000000
  平均奖励: 93.72
  成功率: 0.0%
  累计RL时间: 392.19s
  本区间时间: 16.22s
  损失: 94.9992
  熵: 7.2656
  KL散度: 9.611265
Episode 2200/1000000
  平均奖励: 90.49
  成功率: 0.0%
  累计RL时间: 407.72s
  本区间时间: 15.53s
  损失: 119.2974
  熵: 7.2663
  KL散度: 9.565120
Episode 2300/1000000
  平均奖励: 90.11
  成功率: 0.0%
  累计RL时间: 423.43s
  本区间时间: 15.71s
  损失: 628.9812
  熵: 7.2659
  KL散度: 9.869261
Episode 2400/1000000
  平均奖励: 87.96
  成功率: 0.0%
  累计RL时间: 438.70s
  本区间时间: 15.26s
  损失: 651.1074
  熵: 7.2663
  KL散度: 8.667438
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 2453/1000000
  reward: 195.37
  placed_chiplets: 6/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep2453_r195.37.json
Episode 2500/1000000
  平均奖励: 97.62
  成功率: 0.0%
  累计RL时间: 455.58s
  本区间时间: 16.88s
  损失: 594.6068
  熵: 7.2661
  KL散度: 9.739019
Episode 2600/1000000
  平均奖励: 89.67
  成功率: 0.0%
  累计RL时间: 471.18s
  本区间时间: 15.60s
  损失: 99.4701
  熵: 7.2663
  KL散度: 9.658501
Episode 2700/1000000
  平均奖励: 93.45
  成功率: 0.0%
  累计RL时间: 487.06s
  本区间时间: 15.88s
  损失: 58.3214
  熵: 7.2663
  KL散度: 9.631941
Episode 2800/1000000
  平均奖励: 94.99
  成功率: 0.0%
  累计RL时间: 503.37s
  本区间时间: 16.32s
  损失: 773.5182
  熵: 7.2517
  KL散度: 9.824933
Episode 2900/1000000
  平均奖励: 85.42
  成功率: 0.0%
  累计RL时间: 518.34s
  本区间时间: 14.96s
  损失: -0.2031
  熵: 7.2663
  KL散度: 9.581033
Episode 3000/1000000
  平均奖励: 85.07
  成功率: 0.0%
  累计RL时间: 533.18s
  本区间时间: 14.85s
  损失: 684.2750
  熵: 7.2661
  KL散度: 9.632751
Episode 3100/1000000
  平均奖励: 89.84
  成功率: 0.0%
  累计RL时间: 548.70s
  本区间时间: 15.52s
  损失: 839.2230
  熵: 7.2663
  KL散度: 9.686109
Episode 3200/1000000
  平均奖励: 92.04
  成功率: 0.0%
  累计RL时间: 564.77s
  本区间时间: 16.07s
  损失: 165.5242
  熵: 7.2663
  KL散度: 9.620631
Episode 3300/1000000
  平均奖励: 87.32
  成功率: 0.0%
  累计RL时间: 580.01s
  本区间时间: 15.24s
  损失: -1.7709
  熵: 7.2663
  KL散度: 9.663135
Episode 3400/1000000
  平均奖励: 95.05
  成功率: 0.0%
  累计RL时间: 596.28s
  本区间时间: 16.27s
  损失: 818.4293
  熵: 7.2647
  KL散度: 9.683584
Episode 3500/1000000
  平均奖励: 92.99
  成功率: 0.0%
  累计RL时间: 612.16s
  本区间时间: 15.88s
  损失: 3.0469
  熵: 7.2662
  KL散度: 9.617278
Episode 3600/1000000
  平均奖励: 86.94
  成功率: 0.0%
  累计RL时间: 627.47s
  本区间时间: 15.31s
  损失: -1.3925
  熵: 7.2663
  KL散度: 9.617054
Episode 3700/1000000
  平均奖励: 102.33
  成功率: 0.0%
  累计RL时间: 644.42s
  本区间时间: 16.95s
  损失: 1150.0297
  熵: 7.2662
  KL散度: 9.586126
Episode 3800/1000000
  平均奖励: 87.94
  成功率: 0.0%
  累计RL时间: 659.65s
  本区间时间: 15.23s
  损失: 704.2539
  熵: 7.2663
  KL散度: 9.608435
Episode 3900/1000000
  平均奖励: 87.04
  成功率: 0.0%
  累计RL时间: 674.83s
  本区间时间: 15.18s
  损失: 785.5663
  熵: 7.2660
  KL散度: 9.750010
Episode 4000/1000000
  平均奖励: 97.16
  成功率: 0.0%
  累计RL时间: 691.43s
  本区间时间: 16.60s
  损失: 313.9656
  熵: 7.2663
  KL散度: 9.664081
Episode 4100/1000000
  平均奖励: 87.10
  成功率: 0.0%
  累计RL时间: 706.60s
  本区间时间: 15.17s
  损失: 538.1848
  熵: 7.2663
  KL散度: 9.707968
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 4115/1000000
  reward: 196.26
  placed_chiplets: 6/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep4115_r196.26.json
Episode 4200/1000000
  平均奖励: 87.91
  成功率: 0.0%
  累计RL时间: 722.10s
  本区间时间: 15.51s
  损失: 22.0345
  熵: 7.2664
  KL散度: 9.630965
Episode 4300/1000000
  平均奖励: 88.74
  成功率: 0.0%
  累计RL时间: 737.44s
  本区间时间: 15.34s
  损失: 841.5117
  熵: 7.2661
  KL散度: 9.988739
Episode 4400/1000000
  平均奖励: 95.91
  成功率: 0.0%
  累计RL时间: 753.87s
  本区间时间: 16.43s
  损失: 699.0065
  熵: 7.2663
  KL散度: 9.657813
Episode 4500/1000000
  平均奖励: 87.37
  成功率: 0.0%
  累计RL时间: 769.00s
  本区间时间: 15.12s
  损失: 805.7373
  熵: 7.2634
  KL散度: 9.654290
Episode 4600/1000000
  平均奖励: 85.61
  成功率: 0.0%
  累计RL时间: 784.04s
  本区间时间: 15.05s
  损失: 848.8738
  熵: 7.2663
  KL散度: 9.827945
Episode 4700/1000000
  平均奖励: 92.34
  成功率: 0.0%
  累计RL时间: 799.80s
  本区间时间: 15.75s
  损失: 38.6005
  熵: 7.2664
  KL散度: 9.655643
Episode 4800/1000000
  平均奖励: 95.23
  成功率: 0.0%
  累计RL时间: 816.12s
  本区间时间: 16.32s
  损失: 544.0424
  熵: 7.2663
  KL散度: 9.738706
Episode 4900/1000000
  平均奖励: 91.35
  成功率: 0.0%
  累计RL时间: 831.98s
  本区间时间: 15.86s
  损失: 145.4687
  熵: 7.2664
  KL散度: 9.619480
Episode 5000/1000000
  平均奖励: 93.32
  成功率: 0.0%
  累计RL时间: 847.84s
  本区间时间: 15.86s
  损失: 570.8716
  熵: 7.2664
  KL散度: 9.665726
Episode 5100/1000000
  平均奖励: 94.82
  成功率: 0.0%
  累计RL时间: 864.14s
  本区间时间: 16.31s
  损失: 572.9357
  熵: 7.2664
  KL散度: 9.688525
Episode 5200/1000000
  平均奖励: 92.40
  成功率: 0.0%
  累计RL时间: 880.36s
  本区间时间: 16.22s
  损失: -0.6493
  熵: 7.2664
  KL散度: 9.655562
Episode 5300/1000000
  平均奖励: 94.93
  成功率: 0.0%
  累计RL时间: 896.53s
  本区间时间: 16.17s
  损失: 11.5205
  熵: 7.2664
  KL散度: 9.597872
Episode 5400/1000000
  平均奖励: 89.69
  成功率: 0.0%
  累计RL时间: 912.06s
  本区间时间: 15.54s
  损失: 659.3696
  熵: 7.2663
  KL散度: 9.707170
Episode 5500/1000000
  平均奖励: 92.75
  成功率: 0.0%
  累计RL时间: 928.08s
  本区间时间: 16.02s
  损失: 2.2297
  熵: 7.2664
  KL散度: 9.589137
Episode 5600/1000000
  平均奖励: 93.99
  成功率: 0.0%
  累计RL时间: 944.37s
  本区间时间: 16.29s
  损失: 50.4458
  熵: 7.2664
  KL散度: 9.660273
Episode 5700/1000000
  平均奖励: 92.38
  成功率: 0.0%
  累计RL时间: 960.09s
  本区间时间: 15.72s
  损失: 20.1315
  熵: 7.2664
  KL散度: 9.628093
Episode 5800/1000000
  平均奖励: 92.18
  成功率: 0.0%
  累计RL时间: 975.99s
  本区间时间: 15.90s
  损失: 2.5441
  熵: 7.2664
  KL散度: 9.604335
Episode 5900/1000000
  平均奖励: 92.38
  成功率: 0.0%
  累计RL时间: 992.21s
  本区间时间: 16.22s
  损失: 0.3151
  熵: 7.2664
  KL散度: 9.588691
Episode 6000/1000000
  平均奖励: 87.41
  成功率: 0.0%
  累计RL时间: 1007.34s
  本区间时间: 15.14s
  损失: 843.6253
  熵: 7.2663
  KL散度: 9.693350
Episode 6100/1000000
  平均奖励: 95.08
  成功率: 0.0%
  累计RL时间: 1023.58s
  本区间时间: 16.24s
  损失: 77.7127
  熵: 7.2664
  KL散度: 9.624801
Episode 6200/1000000
  平均奖励: 95.42
  成功率: 0.0%
  累计RL时间: 1039.77s
  本区间时间: 16.19s
  损失: 49.2977
  熵: 7.2664
  KL散度: 9.651794
Episode 6300/1000000
  平均奖励: 91.48
  成功率: 0.0%
  累计RL时间: 1055.65s
  本区间时间: 15.89s
  损失: 1549.1973
  熵: 7.2664
  KL散度: 10.493770
Episode 6400/1000000
  平均奖励: 98.68
  成功率: 0.0%
  累计RL时间: 1072.29s
  本区间时间: 16.63s
  损失: 308.0549
  熵: 7.2656
  KL散度: 9.634762
Episode 6500/1000000
  平均奖励: 95.09
  成功率: 0.0%
  累计RL时间: 1088.38s
  本区间时间: 16.09s
  损失: 556.7518
  熵: 7.2663
  KL散度: 9.722364
Episode 6600/1000000
  平均奖励: 93.71
  成功率: 0.0%
  累计RL时间: 1104.27s
  本区间时间: 15.89s
  损失: 66.7699
  熵: 7.2664
  KL散度: 9.565495
Episode 6700/1000000
  平均奖励: 89.53
  成功率: 0.0%
  累计RL时间: 1119.93s
  本区间时间: 15.66s
  损失: 741.1534
  熵: 7.2664
  KL散度: 9.710343
Episode 6800/1000000
  平均奖励: 93.90
  成功率: 0.0%
  累计RL时间: 1135.99s
  本区间时间: 16.06s
  损失: 1.9913
  熵: 7.2664
  KL散度: 9.545987
Episode 6900/1000000
  平均奖励: 87.05
  成功率: 0.0%
  累计RL时间: 1151.22s
  本区间时间: 15.22s
  损失: 0.1978
  熵: 7.2664
  KL散度: 9.617555
Episode 7000/1000000
  平均奖励: 96.51
  成功率: 0.0%
  累计RL时间: 1167.51s
  本区间时间: 16.29s
  损失: 65.0336
  熵: 7.2663
  KL散度: 9.644497
Episode 7100/1000000
  平均奖励: 100.07
  成功率: 0.0%
  累计RL时间: 1184.66s
  本区间时间: 17.16s
  损失: 443.9342
  熵: 7.2662
  KL散度: 9.660412
Episode 7200/1000000
  平均奖励: 85.68
  成功率: 0.0%
  累计RL时间: 1199.55s
  本区间时间: 14.89s
  损失: -2.5521
  熵: 7.2664
  KL散度: 9.597863
Episode 7300/1000000
  平均奖励: 89.62
  成功率: 0.0%
  累计RL时间: 1215.00s
  本区间时间: 15.45s
  损失: 702.6567
  熵: 7.2664
  KL散度: 9.632112
Episode 7400/1000000
  平均奖励: 94.80
  成功率: 0.0%
  累计RL时间: 1231.26s
  本区间时间: 16.26s
  损失: 691.1506
  熵: 7.2664
  KL散度: 9.723168
Episode 7500/1000000
  平均奖励: 89.14
  成功率: 0.0%
  累计RL时间: 1247.05s
  本区间时间: 15.78s
  损失: 668.9531
  熵: 7.2663
  KL散度: 9.697920
Episode 7600/1000000
  平均奖励: 97.63
  成功率: 0.0%
  累计RL时间: 1263.66s
  本区间时间: 16.61s
  损失: 291.9312
  熵: 7.2663
  KL散度: 9.636275
Episode 7700/1000000
  平均奖励: 87.22
  成功率: 0.0%
  累计RL时间: 1278.90s
  本区间时间: 15.23s
  损失: 684.9636
  熵: 7.2664
  KL散度: 9.676702
Episode 7800/1000000
  平均奖励: 87.23
  成功率: 0.0%
  累计RL时间: 1294.49s
  本区间时间: 15.60s
  损失: -1.8204
  熵: 7.2664
  KL散度: 9.574808
Episode 7900/1000000
  平均奖励: 89.72
  成功率: 0.0%
  累计RL时间: 1310.07s
  本区间时间: 15.58s
  损失: 783.7419
  熵: 7.2664
  KL散度: 9.780340
Episode 8000/1000000
  平均奖励: 97.42
  成功率: 0.0%
  累计RL时间: 1326.50s
  本区间时间: 16.42s
  损失: 635.8171
  熵: 7.2664
  KL散度: 9.876810
Episode 8100/1000000
  平均奖励: 91.93
  成功率: 0.0%
  累计RL时间: 1342.28s
  本区间时间: 15.78s
  损失: 2.9646
  熵: 7.2664
  KL散度: 9.576425
Episode 8200/1000000
  平均奖励: 93.91
  成功率: 0.0%
  累计RL时间: 1358.44s
  本区间时间: 16.16s
  损失: 643.7932
  熵: 7.2664
  KL散度: 9.648067
Episode 8300/1000000
  平均奖励: 91.51
  成功率: 0.0%
  累计RL时间: 1374.10s
  本区间时间: 15.67s
  损失: 8.5697
  熵: 7.2664
  KL散度: 9.612567
Episode 8400/1000000
  平均奖励: 93.39
  成功率: 0.0%
  累计RL时间: 1390.03s
  本区间时间: 15.92s
  损失: 24.5966
  熵: 7.2664
  KL散度: 9.623690
Episode 8500/1000000
  平均奖励: 90.90
  成功率: 0.0%
  累计RL时间: 1405.55s
  本区间时间: 15.52s
  损失: 1724.2565
  熵: 7.2663
  KL散度: 10.297263
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 8552/1000000
  reward: 213.55
  placed_chiplets: 7/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep8552_r213.55.json
Episode 8600/1000000
  平均奖励: 94.97
  成功率: 0.0%
  累计RL时间: 1422.21s
  本区间时间: 16.66s
  损失: 33.5615
  熵: 7.2664
  KL散度: 9.606730
Episode 8700/1000000
  平均奖励: 93.88
  成功率: 0.0%
  累计RL时间: 1438.26s
  本区间时间: 16.05s
  损失: 563.6237
  熵: 7.2662
  KL散度: 9.658583
Episode 8800/1000000
  平均奖励: 98.30
  成功率: 0.0%
  累计RL时间: 1454.84s
  本区间时间: 16.58s
  损失: 453.1470
  熵: 7.2664
  KL散度: 9.669718
Episode 8900/1000000
  平均奖励: 93.26
  成功率: 0.0%
  累计RL时间: 1470.73s
  本区间时间: 15.88s
  损失: 76.7884
  熵: 7.2664
  KL散度: 9.642363
Episode 9000/1000000
  平均奖励: 86.82
  成功率: 0.0%
  累计RL时间: 1486.05s
  本区间时间: 15.33s
  损失: -3.8550
  熵: 7.2664
  KL散度: 9.735013
Episode 9100/1000000
  平均奖励: 99.21
  成功率: 0.0%
  累计RL时间: 1502.77s
  本区间时间: 16.72s
  损失: 476.9814
  熵: 7.2664
  KL散度: 9.684752
Episode 9200/1000000
  平均奖励: 100.95
  成功率: 0.0%
  累计RL时间: 1519.68s
  本区间时间: 16.92s
  损失: 188.6271
  熵: 7.2664
  KL散度: 9.691978
Episode 9300/1000000
  平均奖励: 95.06
  成功率: 0.0%
  累计RL时间: 1535.92s
  本区间时间: 16.24s
  损失: 409.0451
  熵: 7.2663
  KL散度: 9.640321
Episode 9400/1000000
  平均奖励: 94.38
  成功率: 0.0%
  累计RL时间: 1552.19s
  本区间时间: 16.27s
  损失: 159.4869
  熵: 7.2664
  KL散度: 9.605571
Episode 9500/1000000
  平均奖励: 97.50
  成功率: 0.0%
  累计RL时间: 1568.77s
  本区间时间: 16.58s
  损失: 255.7110
  熵: 7.2664
  KL散度: 9.568582
Episode 9600/1000000
  平均奖励: 87.82
  成功率: 0.0%
  累计RL时间: 1583.94s
  本区间时间: 15.17s
  损失: 27.1370
  熵: 7.2664
  KL散度: 9.565888
Episode 9700/1000000
  平均奖励: 92.04
  成功率: 0.0%
  累计RL时间: 1600.07s
  本区间时间: 16.13s
  损失: 624.7448
  熵: 7.2664
  KL散度: 9.670109
Episode 9800/1000000
  平均奖励: 84.73
  成功率: 0.0%
  累计RL时间: 1614.93s
  本区间时间: 14.85s
  损失: 809.5699
  熵: 7.2664
  KL散度: 9.775932
Episode 9900/1000000
  平均奖励: 92.35
  成功率: 0.0%
  累计RL时间: 1630.81s
  本区间时间: 15.88s
  损失: 6.2892
  熵: 7.2664
  KL散度: 9.620317
Episode 10000/1000000
  平均奖励: 94.38
  成功率: 0.0%
  累计RL时间: 1646.84s
  本区间时间: 16.04s
  损失: 12.9394
  熵: 7.2664
  KL散度: 9.540896
Episode 10100/1000000
  平均奖励: 96.03
  成功率: 0.0%
  累计RL时间: 1663.32s
  本区间时间: 16.48s
  损失: 710.9448
  熵: 7.2664
  KL散度: 9.606602
Episode 10200/1000000
  平均奖励: 95.47
  成功率: 0.0%
  累计RL时间: 1679.68s
  本区间时间: 16.37s
  损失: 95.7810
  熵: 7.2664
  KL散度: 9.593439
Episode 10300/1000000
  平均奖励: 89.46
  成功率: 0.0%
  累计RL时间: 1694.89s
  本区间时间: 15.21s
  损失: 778.8029
  熵: 7.2664
  KL散度: 9.761370
Episode 10400/1000000
  平均奖励: 94.53
  成功率: 0.0%
  累计RL时间: 1710.94s
  本区间时间: 16.05s
  损失: -0.2618
  熵: 7.2664
  KL散度: 9.621449
Episode 10500/1000000
  平均奖励: 88.99
  成功率: 0.0%
  累计RL时间: 1726.72s
  本区间时间: 15.77s
  损失: 4.6451
  熵: 7.2664
  KL散度: 9.538903
Episode 10600/1000000
  平均奖励: 90.39
  成功率: 0.0%
  累计RL时间: 1742.22s
  本区间时间: 15.50s
  损失: 833.3746
  熵: 7.2663
  KL散度: 9.583170
Episode 10700/1000000
  平均奖励: 89.34
  成功率: 0.0%
  累计RL时间: 1757.81s
  本区间时间: 15.59s
  损失: 683.8679
  熵: 7.2664
  KL散度: 9.661444
Episode 10800/1000000
  平均奖励: 94.76
  成功率: 0.0%
  累计RL时间: 1773.95s
  本区间时间: 16.14s
  损失: 625.0908
  熵: 7.2664
  KL散度: 9.684504
Episode 10900/1000000
  平均奖励: 96.50
  成功率: 0.0%
  累计RL时间: 1790.70s
  本区间时间: 16.75s
  损失: 154.1639
  熵: 7.2664
  KL散度: 9.585489
Episode 11000/1000000
  平均奖励: 88.98
  成功率: 0.0%
  累计RL时间: 1806.18s
  本区间时间: 15.48s
  损失: 11.7274
  熵: 7.2664
  KL散度: 9.572371
Episode 11100/1000000
  平均奖励: 88.76
  成功率: 0.0%
  累计RL时间: 1821.63s
  本区间时间: 15.45s
  损失: 10.6689
  熵: 7.2664
  KL散度: 9.598871
Episode 11200/1000000
  平均奖励: 85.83
  成功率: 0.0%
  累计RL时间: 1836.66s
  本区间时间: 15.03s
  损失: -2.8923
  熵: 7.2664
  KL散度: 9.534817
Episode 11300/1000000
  平均奖励: 97.77
  成功率: 0.0%
  累计RL时间: 1853.53s
  本区间时间: 16.87s
  损失: 90.9537
  熵: 7.2664
  KL散度: 9.577967
Episode 11400/1000000
  平均奖励: 94.65
  成功率: 0.0%
  累计RL时间: 1869.73s
  本区间时间: 16.20s
  损失: 669.2721
  熵: 7.2664
  KL散度: 9.678731
Episode 11500/1000000
  平均奖励: 87.13
  成功率: 0.0%
  累计RL时间: 1884.91s
  本区间时间: 15.18s
  损失: -0.7166
  熵: 7.2664
  KL散度: 9.572185
Episode 11600/1000000
  平均奖励: 90.21
  成功率: 0.0%
  累计RL时间: 1900.33s
  本区间时间: 15.42s
  损失: 8.0411
  熵: 7.2664
  KL散度: 9.545518
Episode 11700/1000000
  平均奖励: 99.50
  成功率: 0.0%
  累计RL时间: 1917.40s
  本区间时间: 17.07s
  损失: 555.5542
  熵: 7.2664
  KL散度: 9.691679
Episode 11800/1000000
  平均奖励: 95.81
  成功率: 0.0%
  累计RL时间: 1933.65s
  本区间时间: 16.26s
  损失: 237.1397
  熵: 7.2664
  KL散度: 9.625874
Episode 11900/1000000
  平均奖励: 89.29
  成功率: 0.0%
  累计RL时间: 1949.06s
  本区间时间: 15.41s
  损失: -0.9482
  熵: 7.2664
  KL散度: 9.721531
Episode 12000/1000000
  平均奖励: 92.10
  成功率: 0.0%
  累计RL时间: 1965.06s
  本区间时间: 16.00s
  损失: 2.3311
  熵: 7.2664
  KL散度: 9.612551
Episode 12100/1000000
  平均奖励: 86.76
  成功率: 0.0%
  累计RL时间: 1980.21s
  本区间时间: 15.15s
  损失: -3.2291
  熵: 7.2664
  KL散度: 9.568504
Episode 12200/1000000
  平均奖励: 88.16
  成功率: 0.0%
  累计RL时间: 1995.45s
  本区间时间: 15.24s
  损失: 747.8268
  熵: 7.2664
  KL散度: 9.657703
Episode 12300/1000000
  平均奖励: 96.81
  成功率: 0.0%
  累计RL时间: 2011.90s
  本区间时间: 16.45s
  损失: 27.1694
  熵: 7.2664
  KL散度: 9.596781
Episode 12400/1000000
  平均奖励: 99.89
  成功率: 0.0%
  累计RL时间: 2029.09s
  本区间时间: 17.19s
  损失: 320.4662
  熵: 7.2664
  KL散度: 9.643465
Episode 12500/1000000
  平均奖励: 90.79
  成功率: 0.0%
  累计RL时间: 2044.79s
  本区间时间: 15.70s
  损失: 738.9027
  熵: 7.2664
  KL散度: 8.750867
Episode 12600/1000000
  平均奖励: 97.82
  成功率: 0.0%
  累计RL时间: 2061.25s
  本区间时间: 16.46s
  损失: 363.3383
  熵: 7.2664
  KL散度: 9.635681
Episode 12700/1000000
  平均奖励: 85.72
  成功率: 0.0%
  累计RL时间: 2076.39s
  本区间时间: 15.14s
  损失: -0.4895
  熵: 7.2664
  KL散度: 9.585394
Episode 12800/1000000
  平均奖励: 90.60
  成功率: 0.0%
  累计RL时间: 2092.17s
  本区间时间: 15.78s
  损失: 788.2292
  熵: 7.2664
  KL散度: 9.629082
Episode 12900/1000000
  平均奖励: 84.58
  成功率: 0.0%
  累计RL时间: 2107.15s
  本区间时间: 14.98s
  损失: 766.3766
  熵: 7.2664
  KL散度: 9.640648
Episode 13000/1000000
  平均奖励: 89.17
  成功率: 0.0%
  累计RL时间: 2122.52s
  本区间时间: 15.37s
  损失: -3.1042
  熵: 7.2664
